Neighborhood,Year,Predicted Home Value
Montbello,2035,507526.53
Montclair,2024,629118.6
Montclair,2025,647751.69
Montclair,2026,666384.78
Montclair,2027,685017.88
Montclair,2028,703650.97
Montclair,2029,722284.07
Montclair,2030,740917.16
Montclair,2031,759550.25
Montclair,2032,778183.35
Montclair,2033,796816.44
Montclair,2034,815449.54
Montclair,2035,834082.63
North Capitol Hill,2024,482212.88
North Capitol Hill,2025,493471.88
North Capitol Hill,2026,504730.88
North Capitol Hill,2027,515989.88
North Capitol Hill,2028,527248.88
North Capitol Hill,2029,538507.88
North Capitol Hill,2030,549766.87
North Capitol Hill,2031,561025.87
North Capitol Hill,2032,572284.87
North Capitol Hill,2033,583543.87
North Capitol Hill,2034,594802.87
North Capitol Hill,2035,606061.87
North Park Hill,2024,616243.25
North Park Hill,2025,636562.03
North Park Hill,2026,656880.81
North Park Hill,2027,677199.59
North Park Hill,2028,697518.37
North Park Hill,2029,717837.15
North Park Hill,2030,738155.93
North Park Hill,2031,758474.72
North Park Hill,2032,778793.5
North Park Hill,2033,799112.28
North Park Hill,2034,819431.06
North Park Hill,2035,839749.84
Northeast Park Hill,2024,442218.96
Northeast Park Hill,2025,457783.18
Northeast Park Hill,2026,473347.4
Northeast Park Hill,2027,488911.62
Northeast Park Hill,2028,504475.84
Northeast Park Hill,2029,520040.07
Northeast Park Hill,2030,535604.29
Northeast Park Hill,2031,551168.51
Northeast Park Hill,2032,566732.73
Northeast Park Hill,2033,582296.95
Northeast Park Hill,2034,597861.17
Northeast Park Hill,2035,613425.39
Overland,2024,463817.08
Overland,2025,479582.78
Overland,2026,495348.47
Overland,2027,511114.16
Overland,2028,526879.85
Overland,2029,542645.54
Overland,2030,558411.23
Overland,2031,574176.92
Overland,2032,589942.61
Overland,2033,605708.3
Overland,2034,621473.99
Overland,2035,637239.68
Platt Park,2024,767955.09
Platt Park,2025,792239.21
Platt Park,2026,816523.32
Platt Park,2027,840807.44
Platt Park,2028,865091.55
Platt Park,2029,889375.67
Platt Park,2030,913659.78
Platt Park,2031,937943.9
Platt Park,2032,962228.01
Platt Park,2033,986512.13
Platt Park,2034,1010796.24
Platt Park,2035,1035080.36
Regis,2024,535962.82
Regis,2025,554563.33
Regis,2026,573163.85
Regis,2027,591764.37
Regis,2028,610364.89
Regis,2029,628965.41
Regis,2030,647565.93
Regis,2031,666166.45
Regis,2032,684766.97
Regis,2033,703367.48
Regis,2034,721968.0
Regis,2035,740568.52
Rosedale,2024,635678.98
Rosedale,2025,654914.53
Rosedale,2026,674150.08
Rosedale,2027,693385.63
Rosedale,2028,712621.18
Rosedale,2029,731856.73
Rosedale,2030,751092.28
Rosedale,2031,770327.83
Rosedale,2032,789563.38
Rosedale,2033,808798.93
Rosedale,2034,828034.48
Rosedale,2035,847270.03
Ruby Hill,2024,388809.51
Ruby Hill,2025,402500.03
Ruby Hill,2026,416190.55
Ruby Hill,2027,429881.07
Ruby Hill,2028,443571.59
Ruby Hill,2029,457262.12
Ruby Hill,2030,470952.64
Ruby Hill,2031,484643.16
Ruby Hill,2032,498333.68
Ruby Hill,2033,512024.2
Ruby Hill,2034,525714.72
Ruby Hill,2035,539405.24
Skyland,2024,554848.71
Skyland,2025,574703.41
Skyland,2026,594558.11
Skyland,2027,614412.8
Skyland,2028,634267.5
Skyland,2029,654122.2
Skyland,2030,673976.9
Skyland,2031,693831.6
Skyland,2032,713686.29
Skyland,2033,733540.99
Skyland,2034,753395.69
Skyland,2035,773250.39
Sloan Lake,2024,750368.99
Sloan Lake,2025,776068.17
Sloan Lake,2026,801767.34
Sloan Lake,2027,827466.51
Sloan Lake,2028,853165.68
Sloan Lake,2029,878864.85
Sloan Lake,2030,904564.02
Sloan Lake,2031,930263.19
Sloan Lake,2032,955962.36
Sloan Lake,2033,981661.53
Sloan Lake,2034,1007360.7
Sloan Lake,2035,1033059.87
South Park Hill,2024,837799.17
South Park Hill,2025,863041.41
South Park Hill,2026,888283.65
South Park Hill,2027,913525.89
South Park Hill,2028,938768.13
South Park Hill,2029,964010.37
South Park Hill,2030,989252.62
South Park Hill,2031,1014494.86
South Park Hill,2032,1039737.1
South Park Hill,2033,1064979.34
South Park Hill,2034,1090221.58
South Park Hill,2035,1115463.82
Southmoor Park,2024,638208.87
Southmoor Park,2025,656446.94
Southmoor Park,2026,674685.01
Southmoor Park,2027,692923.08
Southmoor Park,2028,711161.15
Southmoor Park,2029,729399.23
Southmoor Park,2030,747637.3
Southmoor Park,2031,765875.37
Southmoor Park,2032,784113.44
Southmoor Park,2033,802351.51
Southmoor Park,2034,820589.58
Southmoor Park,2035,838827.66
Speer,2024,513084.81
Speer,2025,528168.36
Speer,2026,543251.91
Speer,2027,558335.46
Speer,2028,573419.01
