,Neighborhood,Date,Price,Year,Month,TimeIndex,Month_sin,Month_cos
6176,Sunnyside,2006-10-31,222152.5296727782,2006,10,82,-0.8660254037844386,0.5000000000000001
6177,Ruby Hill,2006-10-31,150834.22712452084,2006,10,82,-0.8660254037844386,0.5000000000000001
6178,University,2006-10-31,284980.7780169455,2006,10,82,-0.8660254037844386,0.5000000000000001
6180,West Highland,2006-10-31,321513.22963740677,2006,10,82,-0.8660254037844386,0.5000000000000001
6181,South Park Hill,2006-10-31,422127.3789990099,2006,10,82,-0.8660254037844386,0.5000000000000001
6182,Berkeley,2006-10-31,287175.82439230365,2006,10,82,-0.8660254037844386,0.5000000000000001
6183,Northeast Park Hill,2006-10-31,176325.01010783072,2006,10,82,-0.8660254037844386,0.5000000000000001
6184,Harvey Park South,2006-10-31,215265.35101478183,2006,10,82,-0.8660254037844386,0.5000000000000001
6185,Cheesman Park,2006-10-31,223967.139010576,2006,10,82,-0.8660254037844386,0.5000000000000001
6186,Athmar Park,2006-10-31,174394.75872096207,2006,10,82,-0.8660254037844386,0.5000000000000001
6187,Villa Park,2006-10-31,132192.3438115007,2006,10,82,-0.8660254037844386,0.5000000000000001
6188,Fort Logan,2006-10-31,239942.988931558,2006,10,82,-0.8660254037844386,0.5000000000000001
6189,Hale,2006-10-31,275613.90772677335,2006,10,82,-0.8660254037844386,0.5000000000000001
6190,Union Station,2006-10-31,451188.7518086655,2006,10,82,-0.8660254037844386,0.5000000000000001
6191,College View - South Platte,2006-10-31,154173.5493926638,2006,10,82,-0.8660254037844386,0.5000000000000001
6192,Bear Valley,2006-10-31,218939.08465890013,2006,10,82,-0.8660254037844386,0.5000000000000001
6193,Sloan Lake,2006-10-31,301937.2831996048,2006,10,82,-0.8660254037844386,0.5000000000000001
6194,University Park,2006-10-31,529680.9510154114,2006,10,82,-0.8660254037844386,0.5000000000000001
6195,Hilltop,2006-10-31,657047.6283542493,2006,10,82,-0.8660254037844386,0.5000000000000001
