Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2031,Hilltop,2344539.32,4.99
2031,Indian Creek,546515.08,3.67
2031,Jefferson Park,962059.29,3.85
2031,Lincoln Park,583084.53,2.82
2031,Lowry Field,1120282.6,3.55
2031,Mar Lee,629188.85,4.03
2031,Montbello,639567.45,4.23
2031,Montclair,978509.19,3.85
2031,North Capitol Hill,610110.83,2.28
2031,North Park Hill,951706.03,3.83
2031,Northeast Park Hill,664202.06,3.57
2031,Overland,730011.99,3.76
2031,Platt Park,1171735.4,3.81
2031,Regis,846622.75,4.01
2031,Rosedale,980951.93,3.8
2031,Ruby Hill,631753.69,3.94
2031,Skyland,829282.73,3.57
2031,Sloan Lake,1173207.58,4.0
2031,South Park Hill,1335504.41,4.04
2031,Southmoor Park,1019744.45,4.04
2031,Speer,703636.18,2.96
2031,Sunnyside,965434.7,4.03
2031,Union Station,766367.96,1.45
2031,University,945322.54,3.7
2031,University Hills,822174.41,3.93
2031,University Park,1517401.79,4.26
2031,Valverde,576977.81,3.83
2031,Villa Park,619821.03,3.95
2031,Virginia Village,882982.67,3.93
2031,Washington Park,1760020.8,4.36
2031,Washington Park West,1206096.88,3.75
2031,Washington Virginia Vale,684587.22,3.88
2031,Wellshire,1691004.01,4.7
2031,West Colfax,969421.93,3.8
2031,West Highland,1137660.01,3.91
2031,Westwood,543001.64,3.94
2031,Whittier,938232.23,3.58
2031,Windsor,349622.95,3.63
2032,Athmar Park,673026.5,3.67
2032,Auraria,674671.18,-2.47
2032,Baker,810943.63,2.8
2032,Barnum,615763.27,3.71
2032,Barnum West,641716.97,3.87
2032,Bear Valley,807139.51,3.92
2032,Belcaro,2174378.16,4.23
2032,Berkeley,1124917.28,3.75
2032,Berkley,510486.34,0.6
2032,Capitol Hill,430818.95,2.16
2032,Central Business District,471001.15,0.94
2032,Central Park,1147035.03,3.49
2032,Chaffee Park,706457.84,3.71
2032,Cheesman Park,537122.1,2.08
2032,Cherry Creek,1616744.67,3.41
2032,City Park,1022523.12,3.01
